variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17,variable18,variable19,variable20,variable21,class
a,17,92,5,4.00E-05,u,g,c,v,1,75,f,t,1,t,g,80,5,8.00E+05,t,0,no.
b,32,33,0,35,u,g,k,v,0,5,f,f,0,t,g,232,0,2320000,f,0,no.
a,34,83,0,125,y,p,i,h,0,5,f,f,0,t,g,160,0,1600000,f,0,no.
a,24,75,0,13665,u,g,q,h,1,5,f,f,0,f,g,280,1,2800000,f,0,no.
a,18,17,0,1,y,p,q,h,0,165,f,f,0,f,g,340,0,3400000,f,0,no.
b,17,58,0,1,u,g,W,h,0,165,f,t,1,f,g,120,1,1200000,t,0,no.
b,31,42,0,155,u,g,c,v,0,5,t,f,0,f,g,120,0,1200000,f,0,no.
b,25,67,0,325,u,g,c,h,2,29,f,t,1,t,g,416,21,4160000,t,0,no.
b,32,75,0,2335,u,g,d,h,5,75,f,f,0,t,g,292,0,2920000,f,0,no.
a,24,33,0,25,y,p,i,bb,4,5,f,f,0,f,g,200,456,2.00E+06,f,0,no.
a,16,5,0,125,u,g,q,v,0,25,f,t,1,f,g,108,98,1080000,t,0,no.
b,26,17,8,3.50E-04,u,g,cc,v,1,165,f,f,0,f,g,100,0,1.00E+06,f,0,no.
b,33,17,0,304,y,p,c,h,2,4,t,t,1,t,g,180,18027,1800000,t,1,yes.
b,59,67,0,154,u,g,q,v,0,125,t,f,0,t,g,260,0,2600000,f,1,yes.
a,37,75,0,55,u,g,q,v,0,125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,22,67,0,254,y,p,c,h,2,585,t,f,0,f,g,0,0,0,f,1,yes.
a,33,25,0,25,y,p,c,v,2,5,f,f,0,t,g,0,2,0,f,0,no.
a,27,67,0,204,u,g,W,v,0,25,f,f,0,t,g,180,50,1800000,f,0,no.
b,28,75,0,15,y,p,c,v,1,5,t,f,0,t,g,0,225,0,f,0,no.
b,23,5,0,275,u,g,ff,ff,4,5,f,f,0,f,g,160,25,1600000,f,0,no.
b,18,83,4,1.50E-04,y,p,c,v,0,165,f,t,1,f,g,200,1,2.00E+06,t,0,no.
b,26,75,0,45,y,p,c,bb,2,5,f,f,0,f,g,200,1210,2.00E+06,f,0,no.
b,47,17,0,5835,u,g,W,v,5,5,f,f,0,f,g,465,150,4650000,f,0,no.
b,35,25,0,3165,u,g,x,h,3,75,t,f,0,t,g,680,0,6800000,f,0,no.
b,21,5,0,115,u,g,i,v,0,5,t,f,0,t,g,100,68,1.00E+06,f,0,no.
a,20,42,8,3.50E-04,u,g,q,v,1,585,t,t,1,f,g,0,0,0,t,1,yes.
a,44,17,0,6665,u,g,q,v,7,375,t,t,3,t,g,0,0,0,t,1,yes.
a,32,33,5,4.00E-05,u,g,cc,v,0,4,t,f,0,f,g,440,11177,4400000,f,1,yes.
b,25,75,7,5.00E-05,u,g,c,bb,0,25,t,f,0,f,g,349,23,3490000,f,1,yes.
a,28,17,3,7.50E-04,u,g,q,v,0,585,t,t,4,f,g,80,0,8.00E+05,t,1,yes.
a,20,75,0,1025,u,g,q,v,0,71,t,t,2,t,g,49,0,490000,t,1,yes.
a,22,5,0,846,y,p,x,v,2,46,f,f,0,f,g,164,0,1640000,f,1,yes.
b,23,58,4,6.00E-05,y,p,W,v,2,625,t,t,6,t,g,208,347,2080000,t,0,no.
a,23,58,5,8.50E-04,y,p,ff,ff,0,125,f,f,0,f,g,120,87,1200000,f,0,no.
b,29,83,0,125,y,p,k,v,0,25,f,f,0,f,g,224,0,2240000,f,0,no.
b,25,67,2,9.00E-05,y,p,c,v,1,5,f,f,0,t,g,160,0,1600000,f,0,no.
b,35,75,0,2415,u,g,W,v,0,125,f,t,2,f,g,220,1,2200000,t,0,no.
b,34,67,0,108,u,g,m,v,1,165,f,f,0,f,s,28,0,280000,f,0,no.
a,50,25,8,3.50E-04,u,g,aa,v,0,5,f,f,0,t,g,240,117,2400000,f,0,no.
b,34,42,0,425,u,g,i,bb,3,25,t,t,2,f,g,274,610,2740000,t,1,yes.
b,19,42,0,65,u,g,W,h,1,46,t,t,7,f,g,80,2954,8.00E+05,t,1,yes.
b,39,5,0,425,u,g,c,bb,6,5,t,t,16,f,g,117,1210,1170000,t,1,yes.
b,29,92,0,1835,u,g,c,h,4,335,t,f,0,f,g,260,200,2600000,f,1,yes.
b,35,17,0,25,u,g,k,v,4,5,t,t,7,f,g,150,1270,1500000,t,1,yes.
b,52,5,0,65,u,g,k,v,6,29,t,t,15,f,g,0,11202,0,t,1,yes.
b,39,92,0,621,u,g,q,v,0,4,t,t,1,f,g,200,300,2.00E+06,t,1,yes.
a,35,75,9,1.50E-04,u,g,aa,v,0,75,t,t,4,f,g,0,1583,0,t,1,yes.
b,49,5,0,7585,u,g,i,bb,7,585,t,t,15,t,g,0,5000,0,t,1,yes.
b,29,5,5,8.00E-05,u,g,W,v,0,29,f,t,1,f,g,340,2803,3400000,t,0,no.
b,22,92,1,7.00E-05,u,g,m,v,0,85,f,f,0,f,s,0,0,0,f,0,no.
b,27,58,0,325,y,p,q,h,5,85,f,t,2,t,g,369,1,3690000,t,0,no.
b,18,58,0,571,u,g,d,v,0,54,f,f,0,f,g,120,0,1200000,f,0,no.
b,25,92,8,7.50E-04,u,g,k,v,0,375,f,t,2,t,g,174,3,1740000,t,0,no.
b,16,33,0,275,u,g,aa,v,0,665,f,t,1,f,g,80,21,8.00E+05,t,0,no.
a,23,5,0,15,u,g,W,v,0,875,f,f,0,t,g,160,0,1600000,f,0,no.
a,38,33,0,4415,u,g,c,v,0,125,f,f,0,f,g,160,0,1600000,f,0,no.
b,32,92,0,25,u,g,aa,v,1,75,f,t,2,t,g,720,0,7200000,t,0,no.
b,28,25,8,7.50E-04,u,g,m,v,0,96,t,t,3,t,g,396,0,3960000,t,1,yes.
b,28,67,0,9335,u,g,q,h,5,665,t,t,6,f,g,381,168,3810000,t,1,yes.
b,21,92,5,4.00E-05,y,p,x,v,0,4,t,t,1,t,g,840,59,8400000,t,1,yes.
b,36,75,1,2.50E-04,y,p,c,v,1,5,f,f,0,t,g,232,113,2320000,f,1,yes.
b,28,25,0,504,y,p,c,bb,1,5,t,t,8,t,g,144,7,1440000,t,1,yes.
b,32,75,0,15,u,g,cc,h,5,5,t,t,3,t,g,0,0,0,t,1,yes.
a,22,83,0,229,u,g,q,h,2,29,t,t,7,t,g,140,2384,1400000,t,1,yes.
b,20,8,2,5.00E-05,u,g,q,v,0,125,f,f,0,f,g,200,0,2.00E+06,f,0,no.
b,34,75,0,25,u,g,cc,bb,0,5,f,f,0,f,g,348,0,3480000,f,0,no.
b,20,67,0,529,u,g,q,v,0,375,t,t,1,f,g,160,0,1600000,t,0,no.
b,23,42,5,8.50E-04,u,g,c,h,0,85,t,f,0,f,g,180,0,1800000,f,0,no.
a,15,83,0,7625,u,g,q,v,0,125,f,t,1,t,g,0,160,0,t,0,no.
a,18,58,0,1,u,g,d,v,0,415,f,f,0,f,g,80,42,8.00E+05,f,0,no.
b,29,83,0,204,y,p,x,h,0,4,f,f,0,f,g,128,1,1280000,f,0,no.
b,36,5,0,425,u,g,q,v,3,5,f,f,0,f,g,454,50,4540000,f,0,no.
a,22,25,0,125,y,p,ff,ff,3,25,f,f,0,f,g,280,0,2800000,f,0,no.
b,18,58,0,1029,u,g,ff,ff,0,415,f,f,0,f,g,80,0,8.00E+05,f,0,no.
b,24,58,0,125,u,g,W,v,0,875,t,f,0,t,g,260,0,2600000,f,0,no.
b,38,17,0,10125,u,g,x,v,2,5,t,t,6,f,g,520,196,5200000,t,1,yes.
b,31,67,8,3.00E-05,u,g,x,v,1,335,t,t,8,t,g,303,3290,3030000,t,1,yes.
a,28,42,0,35,u,g,W,v,0,835,t,f,0,f,s,280,0,2800000,f,1,yes.
a,22,42,0,5665,u,g,q,v,2,585,t,t,7,f,g,129,3257,1290000,t,1,yes.
b,26,75,0,1125,u,g,x,h,1,25,t,f,0,f,g,0,5298,0,f,1,yes.
b,64,8,0,2,u,g,x,h,17,5,t,t,9,t,g,0,1000,0,t,1,yes.
b,56,42,0,28,y,p,c,v,28,5,t,t,40,f,g,0,15,0,t,1,yes.
b,34,8,0,65,u,g,aa,v,0,125,t,f,0,t,g,443,0,4430000,f,0,no.
b,52,42,0,15,u,g,d,v,3,75,f,f,0,t,g,0,350,0,f,0,no.
b,37,5,0,175,y,p,c,bb,0,25,t,f,0,t,g,164,400,1640000,f,0,no.
b,21,42,7,5.00E-05,y,p,r,n,0,75,f,f,0,t,g,132,2,1320000,f,0,no.
b,42,83,0,125,u,g,m,v,13,875,f,t,1,t,g,352,112,3520000,t,0,no.
b,24,8,8,7.50E-04,u,g,m,v,0,85,f,t,4,f,g,254,1950,2540000,t,0,no.
b,30,8,0,104,y,p,i,bb,0,5,t,t,10,t,g,132,28,1320000,t,0,no.
a,41,58,0,104,u,g,aa,v,0,665,f,f,0,f,g,240,237,2400000,f,0,no.
b,22,5,0,115,y,p,m,v,1,5,f,f,0,t,g,0,4000,0,f,0,no.
b,17,92,2,5.00E-05,u,g,aa,v,0,4,f,f,0,f,g,280,750,2800000,f,0,no.
b,25,42,5,4.00E-05,u,g,W,v,0,165,f,t,1,f,g,272,444,2720000,t,0,no.
b,38,67,2,1.00E-05,u,g,k,v,0,85,t,f,0,t,g,280,0,2800000,f,1,yes.
b,32,67,0,55,u,g,q,h,5,5,t,t,12,t,g,408,1000,4080000,t,1,yes.
b,48,75,0,85,u,g,c,h,12,5,t,t,9,f,g,181,1655,1810000,t,1,yes.
b,23,17,0,11125,u,g,x,h,0,46,t,t,1,f,g,100,0,1.00E+06,t,1,yes.
a,15,83,5,8.50E-04,u,g,c,h,1,5,t,t,2,f,g,100,0,1.00E+06,t,1,yes.
b,16,8,7,5.00E-05,u,g,c,v,1,75,t,t,5,t,g,352,690,3520000,t,1,yes.
b,41,17,0,125,y,p,W,v,0,25,f,f,0,f,g,0,195,0,f,0,no.
b,32,33,0,25,u,g,c,v,1,25,f,f,0,t,g,280,0,2800000,f,0,no.
a,23,75,7,1.00E-05,u,g,W,v,0,25,f,t,1,t,g,240,4,2400000,t,0,no.
a,27,25,2,9.00E-05,u,g,m,h,0,125,f,t,1,t,g,272,108,2720000,t,0,no.
b,30,75,0,1585,u,g,d,v,0,585,f,f,0,t,s,0,0,0,f,0,no.
b,30,58,0,271,y,p,m,v,0,125,f,f,0,t,s,80,0,8.00E+05,f,0,no.
b,25,83,0,12835,u,g,cc,v,0,5,f,f,0,f,g,0,2,0,f,0,no.
b,23,75,0,12,u,g,c,v,2,85,f,f,0,f,s,80,0,8.00E+05,f,0,no.
b,17,8,0,329,u,g,i,v,0,335,f,f,0,t,g,140,2,1400000,f,0,no.
b,30,17,0,1085,y,p,c,v,0,4,f,f,0,f,g,170,179,1700000,f,0,no.
b,25,17,0,35,u,g,cc,v,0,625,t,t,7,f,g,0,7059,0,t,1,yes.
b,29,25,0,1479,u,g,aa,v,5,4,t,t,5,t,g,168,0,1680000,t,1,yes.
a,20,75,0,10335,u,g,cc,h,0,335,t,t,1,t,g,80,50,8.00E+05,t,1,yes.
b,23,92,0,15,u,g,d,h,1,875,t,t,6,f,g,200,327,2.00E+06,t,1,yes.
b,25,5,3,7.50E-04,u,g,m,v,0,25,t,t,3,f,g,260,15108,2600000,t,1,yes.
b,33,17,0,304,y,p,c,h,2,4,t,t,1,t,g,180,18027,1800000,t,1,yes.
b,59,67,0,154,u,g,q,v,0,125,t,f,0,t,g,260,0,2600000,f,1,yes.
a,37,75,0,55,u,g,q,v,0,125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,22,67,0,254,y,p,c,h,2,585,t,f,0,f,g,0,0,0,f,1,yes.
a,20,42,8,3.50E-04,u,g,q,v,1,585,t,t,1,f,g,0,0,0,t,1,yes.
a,44,17,0,6665,u,g,q,v,7,375,t,t,3,t,g,0,0,0,t,1,yes.
a,32,33,5,4.00E-05,u,g,cc,v,0,4,t,f,0,f,g,440,11177,4400000,f,1,yes.
b,25,75,7,5.00E-05,u,g,c,bb,0,25,t,f,0,f,g,349,23,3490000,f,1,yes.
a,28,17,3,7.50E-04,u,g,q,v,0,585,t,t,4,f,g,80,0,8.00E+05,t,1,yes.
a,20,75,0,1025,u,g,q,v,0,71,t,t,2,t,g,49,0,490000,t,1,yes.
a,22,5,0,846,y,p,x,v,2,46,f,f,0,f,g,164,0,1640000,f,1,yes.
b,34,42,0,425,u,g,i,bb,3,25,t,t,2,f,g,274,610,2740000,t,1,yes.
b,19,42,0,65,u,g,W,h,1,46,t,t,7,f,g,80,2954,8.00E+05,t,1,yes.
b,39,5,0,425,u,g,c,bb,6,5,t,t,16,f,g,117,1210,1170000,t,1,yes.
b,29,92,0,1835,u,g,c,h,4,335,t,f,0,f,g,260,200,2600000,f,1,yes.
b,35,17,0,25,u,g,k,v,4,5,t,t,7,f,g,150,1270,1500000,t,1,yes.
b,52,5,0,65,u,g,k,v,6,29,t,t,15,f,g,0,11202,0,t,1,yes.
b,39,92,0,621,u,g,q,v,0,4,t,t,1,f,g,200,300,2.00E+06,t,1,yes.
a,35,75,9,1.50E-04,u,g,aa,v,0,75,t,t,4,f,g,0,1583,0,t,1,yes.
b,49,5,0,7585,u,g,i,bb,7,585,t,t,15,t,g,0,5000,0,t,1,yes.
b,28,25,8,7.50E-04,u,g,m,v,0,96,t,t,3,t,g,396,0,3960000,t,1,yes.
b,28,67,0,9335,u,g,q,h,5,665,t,t,6,f,g,381,168,3810000,t,1,yes.
b,21,92,5,4.00E-05,y,p,x,v,0,4,t,t,1,t,g,840,59,8400000,t,1,yes.
b,36,75,1,2.50E-04,y,p,c,v,1,5,f,f,0,t,g,232,113,2320000,f,1,yes.
b,28,25,0,504,y,p,c,bb,1,5,t,t,8,t,g,144,7,1440000,t,1,yes.
b,32,75,0,15,u,g,cc,h,5,5,t,t,3,t,g,0,0,0,t,1,yes.
a,22,83,0,229,u,g,q,h,2,29,t,t,7,t,g,140,2384,1400000,t,1,yes.
b,38,17,0,10125,u,g,x,v,2,5,t,t,6,f,g,520,196,5200000,t,1,yes.
b,31,67,8,3.00E-05,u,g,x,v,1,335,t,t,8,t,g,303,3290,3030000,t,1,yes.
a,28,42,0,35,u,g,W,v,0,835,t,f,0,f,s,280,0,2800000,f,1,yes.
a,22,42,0,5665,u,g,q,v,2,585,t,t,7,f,g,129,3257,1290000,t,1,yes.
b,26,75,0,1125,u,g,x,h,1,25,t,f,0,f,g,0,5298,0,f,1,yes.
b,64,8,0,2,u,g,x,h,17,5,t,t,9,t,g,0,1000,0,t,1,yes.
b,56,42,0,28,y,p,c,v,28,5,t,t,40,f,g,0,15,0,t,1,yes.
b,38,67,2,1.00E-05,u,g,k,v,0,85,t,f,0,t,g,280,0,2800000,f,1,yes.
b,32,67,0,55,u,g,q,h,5,5,t,t,12,t,g,408,1000,4080000,t,1,yes.
b,48,75,0,85,u,g,c,h,12,5,t,t,9,f,g,181,1655,1810000,t,1,yes.
b,23,17,0,11125,u,g,x,h,0,46,t,t,1,f,g,100,0,1.00E+06,t,1,yes.
a,15,83,5,8.50E-04,u,g,c,h,1,5,t,t,2,f,g,100,0,1.00E+06,t,1,yes.
b,16,8,7,5.00E-05,u,g,c,v,1,75,t,t,5,t,g,352,690,3520000,t,1,yes.
b,25,17,0,35,u,g,cc,v,0,625,t,t,7,f,g,0,7059,0,t,1,yes.
b,29,25,0,1479,u,g,aa,v,5,4,t,t,5,t,g,168,0,1680000,t,1,yes.
a,20,75,0,10335,u,g,cc,h,0,335,t,t,1,t,g,80,50,8.00E+05,t,1,yes.
b,23,92,0,15,u,g,d,h,1,875,t,t,6,f,g,200,327,2.00E+06,t,1,yes.
b,25,5,3,7.50E-04,u,g,m,v,0,25,t,t,3,f,g,260,15108,2600000,t,1,yes.
b,33,17,0,304,y,p,c,h,2,4,t,t,1,t,g,180,18027,1800000,t,1,yes.
b,59,67,0,154,u,g,q,v,0,125,t,f,0,t,g,260,0,2600000,f,1,yes.
a,37,75,0,55,u,g,q,v,0,125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,22,67,0,254,y,p,c,h,2,585,t,f,0,f,g,0,0,0,f,1,yes.
a,20,42,8,3.50E-04,u,g,q,v,1,585,t,t,1,f,g,0,0,0,t,1,yes.
a,44,17,0,6665,u,g,q,v,7,375,t,t,3,t,g,0,0,0,t,1,yes.
a,32,33,5,4.00E-05,u,g,cc,v,0,4,t,f,0,f,g,440,11177,4400000,f,1,yes.
b,25,75,7,5.00E-05,u,g,c,bb,0,25,t,f,0,f,g,349,23,3490000,f,1,yes.
a,28,17,3,7.50E-04,u,g,q,v,0,585,t,t,4,f,g,80,0,8.00E+05,t,1,yes.
a,20,75,0,1025,u,g,q,v,0,71,t,t,2,t,g,49,0,490000,t,1,yes.
a,22,5,0,846,y,p,x,v,2,46,f,f,0,f,g,164,0,1640000,f,1,yes.
b,34,42,0,425,u,g,i,bb,3,25,t,t,2,f,g,274,610,2740000,t,1,yes.
b,19,42,0,65,u,g,W,h,1,46,t,t,7,f,g,80,2954,8.00E+05,t,1,yes.
b,39,5,0,425,u,g,c,bb,6,5,t,t,16,f,g,117,1210,1170000,t,1,yes.
b,29,92,0,1835,u,g,c,h,4,335,t,f,0,f,g,260,200,2600000,f,1,yes.
b,35,17,0,25,u,g,k,v,4,5,t,t,7,f,g,150,1270,1500000,t,1,yes.
b,52,5,0,65,u,g,k,v,6,29,t,t,15,f,g,0,11202,0,t,1,yes.
b,39,92,0,621,u,g,q,v,0,4,t,t,1,f,g,200,300,2.00E+06,t,1,yes.
a,35,75,9,1.50E-04,u,g,aa,v,0,75,t,t,4,f,g,0,1583,0,t,1,yes.
b,49,5,0,7585,u,g,i,bb,7,585,t,t,15,t,g,0,5000,0,t,1,yes.
b,28,25,8,7.50E-04,u,g,m,v,0,96,t,t,3,t,g,396,0,3960000,t,1,yes.
b,28,67,0,9335,u,g,q,h,5,665,t,t,6,f,g,381,168,3810000,t,1,yes.
b,21,92,5,4.00E-05,y,p,x,v,0,4,t,t,1,t,g,840,59,8400000,t,1,yes.
b,36,75,1,2.50E-04,y,p,c,v,1,5,f,f,0,t,g,232,113,2320000,f,1,yes.
b,28,25,0,504,y,p,c,bb,1,5,t,t,8,t,g,144,7,1440000,t,1,yes.
b,32,75,0,15,u,g,cc,h,5,5,t,t,3,t,g,0,0,0,t,1,yes.
a,22,83,0,229,u,g,q,h,2,29,t,t,7,t,g,140,2384,1400000,t,1,yes.
b,38,17,0,10125,u,g,x,v,2,5,t,t,6,f,g,520,196,5200000,t,1,yes.
b,31,67,8,3.00E-05,u,g,x,v,1,335,t,t,8,t,g,303,3290,3030000,t,1,yes.
a,28,42,0,35,u,g,W,v,0,835,t,f,0,f,s,280,0,2800000,f,1,yes.
a,22,42,0,5665,u,g,q,v,2,585,t,t,7,f,g,129,3257,1290000,t,1,yes.
b,26,75,0,1125,u,g,x,h,1,25,t,f,0,f,g,0,5298,0,f,1,yes.
b,64,8,0,2,u,g,x,h,17,5,t,t,9,t,g,0,1000,0,t,1,yes.
b,56,42,0,28,y,p,c,v,28,5,t,t,40,f,g,0,15,0,t,1,yes.
b,38,67,2,1.00E-05,u,g,k,v,0,85,t,f,0,t,g,280,0,2800000,f,1,yes.
b,32,67,0,55,u,g,q,h,5,5,t,t,12,t,g,408,1000,4080000,t,1,yes.
b,48,75,0,85,u,g,c,h,12,5,t,t,9,f,g,181,1655,1810000,t,1,yes.
b,23,17,0,11125,u,g,x,h,0,46,t,t,1,f,g,100,0,1.00E+06,t,1,yes.
a,15,83,5,8.50E-04,u,g,c,h,1,5,t,t,2,f,g,100,0,1.00E+06,t,1,yes.
b,16,8,7,5.00E-05,u,g,c,v,1,75,t,t,5,t,g,352,690,3520000,t,1,yes.
b,25,17,0,35,u,g,cc,v,0,625,t,t,7,f,g,0,7059,0,t,1,yes.
b,29,25,0,1479,u,g,aa,v,5,4,t,t,5,t,g,168,0,1680000,t,1,yes.
a,20,75,0,10335,u,g,cc,h,0,335,t,t,1,t,g,80,50,8.00E+05,t,1,yes.
b,23,92,0,15,u,g,d,h,1,875,t,t,6,f,g,200,327,2.00E+06,t,1,yes.
b,25,5,3,7.50E-04,u,g,m,v,0,25,t,t,3,f,g,260,15108,2600000,t,1,yes.
b,33,17,0,304,y,p,c,h,2,4,t,t,1,t,g,180,18027,1800000,t,1,yes.
b,59,67,0,154,u,g,q,v,0,125,t,f,0,t,g,260,0,2600000,f,1,yes.
a,37,75,0,55,u,g,q,v,0,125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,22,67,0,254,y,p,c,h,2,585,t,f,0,f,g,0,0,0,f,1,yes.
a,20,42,8,3.50E-04,u,g,q,v,1,585,t,t,1,f,g,0,0,0,t,1,yes.
a,44,17,0,6665,u,g,q,v,7,375,t,t,3,t,g,0,0,0,t,1,yes.
a,32,33,5,4.00E-05,u,g,cc,v,0,4,t,f,0,f,g,440,11177,4400000,f,1,yes.
b,25,75,7,5.00E-05,u,g,c,bb,0,25,t,f,0,f,g,349,23,3490000,f,1,yes.
a,28,17,3,7.50E-04,u,g,q,v,0,585,t,t,4,f,g,80,0,8.00E+05,t,1,yes.
a,20,75,0,1025,u,g,q,v,0,71,t,t,2,t,g,49,0,490000,t,1,yes.
a,22,5,0,846,y,p,x,v,2,46,f,f,0,f,g,164,0,1640000,f,1,yes.
b,34,42,0,425,u,g,i,bb,3,25,t,t,2,f,g,274,610,2740000,t,1,yes.
b,19,42,0,65,u,g,W,h,1,46,t,t,7,f,g,80,2954,8.00E+05,t,1,yes.
b,39,5,0,425,u,g,c,bb,6,5,t,t,16,f,g,117,1210,1170000,t,1,yes.
b,29,92,0,1835,u,g,c,h,4,335,t,f,0,f,g,260,200,2600000,f,1,yes.
b,35,17,0,25,u,g,k,v,4,5,t,t,7,f,g,150,1270,1500000,t,1,yes.
b,52,5,0,65,u,g,k,v,6,29,t,t,15,f,g,0,11202,0,t,1,yes.
b,39,92,0,621,u,g,q,v,0,4,t,t,1,f,g,200,300,2.00E+06,t,1,yes.
a,35,75,9,1.50E-04,u,g,aa,v,0,75,t,t,4,f,g,0,1583,0,t,1,yes.
b,49,5,0,7585,u,g,i,bb,7,585,t,t,15,t,g,0,5000,0,t,1,yes.
b,28,25,8,7.50E-04,u,g,m,v,0,96,t,t,3,t,g,396,0,3960000,t,1,yes.
b,28,67,0,9335,u,g,q,h,5,665,t,t,6,f,g,381,168,3810000,t,1,yes.
b,21,92,5,4.00E-05,y,p,x,v,0,4,t,t,1,t,g,840,59,8400000,t,1,yes.
b,36,75,1,2.50E-04,y,p,c,v,1,5,f,f,0,t,g,232,113,2320000,f,1,yes.
b,28,25,0,504,y,p,c,bb,1,5,t,t,8,t,g,144,7,1440000,t,1,yes.
b,32,75,0,15,u,g,cc,h,5,5,t,t,3,t,g,0,0,0,t,1,yes.
a,22,83,0,229,u,g,q,h,2,29,t,t,7,t,g,140,2384,1400000,t,1,yes.
b,38,17,0,10125,u,g,x,v,2,5,t,t,6,f,g,520,196,5200000,t,1,yes.
b,31,67,8,3.00E-05,u,g,x,v,1,335,t,t,8,t,g,303,3290,3030000,t,1,yes.
a,28,42,0,35,u,g,W,v,0,835,t,f,0,f,s,280,0,2800000,f,1,yes.
a,22,42,0,5665,u,g,q,v,2,585,t,t,7,f,g,129,3257,1290000,t,1,yes.
b,26,75,0,1125,u,g,x,h,1,25,t,f,0,f,g,0,5298,0,f,1,yes.
b,64,8,0,2,u,g,x,h,17,5,t,t,9,t,g,0,1000,0,t,1,yes.
b,56,42,0,28,y,p,c,v,28,5,t,t,40,f,g,0,15,0,t,1,yes.
b,38,67,2,1.00E-05,u,g,k,v,0,85,t,f,0,t,g,280,0,2800000,f,1,yes.
b,32,67,0,55,u,g,q,h,5,5,t,t,12,t,g,408,1000,4080000,t,1,yes.
b,48,75,0,85,u,g,c,h,12,5,t,t,9,f,g,181,1655,1810000,t,1,yes.
b,23,17,0,11125,u,g,x,h,0,46,t,t,1,f,g,100,0,1.00E+06,t,1,yes.
a,15,83,5,8.50E-04,u,g,c,h,1,5,t,t,2,f,g,100,0,1.00E+06,t,1,yes.
b,16,8,7,5.00E-05,u,g,c,v,1,75,t,t,5,t,g,352,690,3520000,t,1,yes.
b,25,17,0,35,u,g,cc,v,0,625,t,t,7,f,g,0,7059,0,t,1,yes.
b,29,25,0,1479,u,g,aa,v,5,4,t,t,5,t,g,168,0,1680000,t,1,yes.
a,20,75,0,10335,u,g,cc,h,0,335,t,t,1,t,g,80,50,8.00E+05,t,1,yes.
b,23,92,0,15,u,g,d,h,1,875,t,t,6,f,g,200,327,2.00E+06,t,1,yes.
b,25,5,3,7.50E-04,u,g,m,v,0,25,t,t,3,f,g,260,15108,2600000,t,1,yes.
b,33,17,0,304,y,p,c,h,2,4,t,t,1,t,g,180,18027,1800000,t,1,yes.
b,59,67,0,154,u,g,q,v,0,125,t,f,0,t,g,260,0,2600000,f,1,yes.
a,37,75,0,55,u,g,q,v,0,125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,22,67,0,254,y,p,c,h,2,585,t,f,0,f,g,0,0,0,f,1,yes.
a,20,42,8,3.50E-04,u,g,q,v,1,585,t,t,1,f,g,0,0,0,t,1,yes.
a,44,17,0,6665,u,g,q,v,7,375,t,t,3,t,g,0,0,0,t,1,yes.
a,32,33,5,4.00E-05,u,g,cc,v,0,4,t,f,0,f,g,440,11177,4400000,f,1,yes.
b,25,75,7,5.00E-05,u,g,c,bb,0,25,t,f,0,f,g,349,23,3490000,f,1,yes.
a,28,17,3,7.50E-04,u,g,q,v,0,585,t,t,4,f,g,80,0,8.00E+05,t,1,yes.
a,20,75,0,1025,u,g,q,v,0,71,t,t,2,t,g,49,0,490000,t,1,yes.
a,22,5,0,846,y,p,x,v,2,46,f,f,0,f,g,164,0,1640000,f,1,yes.
b,34,42,0,425,u,g,i,bb,3,25,t,t,2,f,g,274,610,2740000,t,1,yes.
